1705492810.7767818,1705492811.0,0,0,0,1
1705492812.051843,1705492812.0,0,0,0,0
1705492816.0635135,1705492816.0,0,0,0,1
1705492816.400794,1705492816.0,0,0,1,1
1705492821.6881866,1705492821.0,0,0,0,1
1705492827.7995217,1705492828.0,0,0,0,1
1705492834.7757497,1705492835.0,0,0,0,1
1705492835.7883494,1705492836.0,63,26,0,1
1705492836.7998886,1705492837.0,0,0,0,1
1705492839.0509844,1705492839.0,0,0,0,0
1705492842.0508387,1705492842.0,0,0,0,1
1705492848.8007805,1705492849.0,0,0,0,1
1705492855.7757726,1705492856.0,0,0,0,1
1705492856.7884724,1705492857.0,65,28,0,1
1705492860.8009613,1705492861.0,70,20,0,1
1705492864.7759938,1705492865.0,73,17,0,1
1705492868.7883902,1705492869.0,76,15,0,1
1705492872.8008254,1705492873.0,74,15,0,1
1705492876.363357,1705492876.0,71,15,1,1
1705492878.4999826,1705492878.0,0,0,0,1
1705492884.7998493,1705492885.0,0,0,0,1
